user_id,comment_text,gender,identity,user_followings,user_followers,user_posts,comment_likes,comment_length,comment_num,topic_num,emoji_num,secondary comments,label
1403711067.0,领导咋了，谁爱看啊，真拿自己当归事。过分了，多大的点事，又不是故意想看，至于罚那么多钱吗？比看场明星演唱会还贵,0.0,3.0,415.0,1318.0,5781.0,0.0,37.0,2.0,1.0,0,0,1.0
5805426571.0,如果这件事就这么不了了之，那个女生什么责也不用负，那我觉得这届网友是真的不行如果这件事就这么不了了之，那个女生什么责也不用负，那我就觉得这届网友是真的不行,1.0,3.0,526.0,158.0,207.0,1.0,45.0,2.0,2.0,6,0,1.0
1265918160.0,那天在当地电视台看到，我爸还在说，旁边那么多中国人，还有年轻人在为什么不去救？我只能解释，人家不会水，就算会，水性不好也不太敢下去。感谢,0.0,3.0,313.0,156.0,698.0,0.0,3.0,2.0,1.0,0,0,0.0
5883358489.0,都太可惜了，日圈里真的超喜欢三浦春马唉,0.0,3.0,655.0,145.0,741.0,0.0,9.0,2.0,1.0,2,0,0.0
5935129589.0,性别一换化学阉割男保洁碰上女领导会咋样？,1.0,3.0,252.0,16.0,68.0,0.0,12.0,2.0,1.0,0,0,1.0
2203072087.0,不敲门就进男浴室确实没得职业操守自己不把自己当女人,0.0,3.0,654.0,248.0,951.0,0.0,9.0,2.0,1.0,0,0,1.0
6251907643.0,这个洗澡的领导是谁，曝光出来！人民万岁？资本家万岁？资本家就是这么对待人民的？,1.0,3.0,45.0,10.0,228.0,0.0,13.0,3.0,1.0,0,0,1.0
6473297826.0,一定要加“领导”二字博取特殊性吗如果是男保洁撞见女领导洗澡呢，不管是厕所还是浴室本来工作要求就是要敲门先询问的，评论里还有玩“见短了”梗不觉得恶臭吗一定要加“领导”二字博取特殊性吗如果是男保洁撞见女领导洗澡呢，不管是厕所还是浴室本来工作要求就是要敲门先询问的，评论里还有玩“见短了”梗不觉得恶臭吗,1.0,3.0,748.0,1364.0,219.0,551.0,82.0,2.0,1.0,17,1,0.0
1268581134.0,日本人压力这么大吗中国人在家里上吊的很少见，都怕给家人留下心理阴影,0.0,3.0,279.0,354.0,343.0,0.0,24.0,2.0,1.0,0,0,0.0
1909445221.0,终于在这看到正常的评论了，凤凰网的都疯了吧迷惑了？？？救自己的同胞不是件好事吗？？人家发奖发个5万块就这么酸了，你倒是去救啊，见义勇为没你份，网上键盘敲的挺欢,0.0,3.0,981.0,191.0,1020.0,1.0,58.0,2.0,2.0,0,0,0.0
7312829281.0,性别一转，全网死亡性别一转，全网死亡,1.0,3.0,97.0,2.0,0.0,3.0,9.0,2.0,2.0,4,0,1.0
3168951487.0,敲门确认里面是否有人是最起码的礼貌实名，公开，书面道歉吧,1.0,3.0,391.0,448.0,224.0,0.0,11.0,2.0,2.0,0,0,0.0
5123715205.0,“我都跟你道歉了，你还想让我怎么样，要不然你杀了我”。没有罚款，还威胁。送上热搜,0.0,3.0,97.0,79.0,322.0,0.0,4.0,2.0,1.0,3,0,0.0
6281223017.0,id复兴华夏，不遗余力为米国看门，不知道这行一个月多少钱，哈哈哈，我还有点怀疑是个国外用户批皮，有些话真的非常美式反智id复兴华夏，不遗余力为米国看门，不知道这行一个月多少钱，哈哈哈，我还有点怀疑是个国外用户批皮，有些话真的非常美式反智,0.0,3.0,258.0,57.0,1166.0,1471.0,59.0,2.0,1.0,7,1,1.0
6739483185.0,撞见领导？所以就比较严重？好大官威使劲舔，真丢人,1.0,3.0,221.0,125.0,785.0,7.0,7.0,2.0,2.0,0,1,1.0
7301037144.0,必须起诉，这要是没监控这学弟就凉了必须起诉，这要是没有监控这学弟一辈子就完了,1.0,3.0,1.0,1.0,0.0,0.0,21.0,2.0,2.0,0,0,0.0
2677488664.0,这女的还有男孩子敢追吗？昨天我看到有个女同性恋还替这个女的觉得委屈？？？说什么这女的反应很正常，艹(*≧ｍ≦*)！特别好奇，什么脑回路,0.0,3.0,539.0,262.0,344.0,3.0,55.0,2.0,1.0,0,0,1.0
6489682070.0,他可不是用书包啊，用的是手。我上来就是一个辱骂他，一个发朋友圈，一个曝光信息，他全部没防出去，我笑了一下准备收拳的时间不打啦，他忽然一个调监控来打我脸。我大意了啊，没有闪，监控上他是清白的，把我脸打了一下。我说小伙子这事就这么过去吧。他不肯，发到知乎上去了。这个年轻人不讲武德我一小时之内要这个女的全部信息,1.0,3.0,26.0,4.0,126.0,0.0,15.0,2.0,1.0,0,0,1.0
6610621423.0,这件事里学姐做错了，但希望以后性骚扰女生的渣都被扒出来女生被性骚扰维权更难了,0.0,3.0,87.0,8.0,146.0,1.0,11.0,2.0,1.0,0,0,0.0
3290998674.0,男的闯女澡堂会被拘留。男的闯女澡堂会被拘留。,1.0,3.0,20.0,26.0,20.0,3.0,14.0,2.0,1.0,1,0,1.0
3022880865.0,凑在一起真的感觉有点诡异@白孔雀的心评论真是一言难尽…,0.0,3.0,134.0,107.0,2382.0,0.0,9.0,2.0,2.0,0,0,0.0
6531196472.0,只会对弱势的群体重拳出击。为什么现在有小男童的小便池要装在女厕所里？是不是可以取消？我上厕所为什么要看到男的也在里面？凤凰网这个歪屁股和下面的孝子贤孙一窝蛆。新冠收了这群垃圾最好。,0.0,3.0,93.0,5.0,745.0,3.0,31.0,3.0,2.0,0,0,0.0
1834867512.0,偶像剧可不是这么演的现在的人怎么了？是没见过人死么？,0.0,3.0,1239.0,217.0,6305.0,0.0,16.0,2.0,2.0,1,0,1.0
6447592575.0,为什么我只看到说评论奇葩，但我没看到骂的评论啊？？都去哪里了，。刚生完二胎，那很好解释了，抑郁，,0.0,3.0,108.0,103.0,3514.0,0.0,16.0,2.0,2.0,0,0,0.0
6481076089.0,金针菇有什么好看的恶臭蝈蝻,1.0,3.0,32.0,15.0,11.0,0.0,4.0,2.0,3.0,0,0,1.0
6878167963.0,不愧是领导，洗澡也不关门那怎么不请男保洁呢,0.0,3.0,529.0,37.0,196.0,1.0,12.0,2.0,1.0,1,0,0.0
5703563416.0,整天微博里面的评论跟神经病一样，一天天的男的怎么样，女的怎么样，绝了，你妈不是女的，你爸不是男的啊整天微博里面的评论跟神经病一样，一天天的都是男的怎么样，女的怎么样,0.0,3.0,394.0,41.0,1.0,0.0,33.0,2.0,1.0,0,0,0.0
1036104957.0,多好的普法宣传啊。正好借此事进行依法治国的普法宣传。清华辅导员就这水平？貌似公平，其实是在鼓励作恶。已经涉嫌违法了。转发那个所谓学姐那个朋友圈的也一样涉嫌违法。,1.0,3.0,113.0,14.0,21.0,12.0,30.0,2.0,1.0,0,0,1.0
5976169742.0,评论里太降智了评论里太降智了,0.0,3.0,491.0,2699.0,1297.0,5950.0,7.0,2.0,1.0,4,1,0.0
2818811551.0,公司是民事主体，没有行政处罚权，对他人实施罚款处罚我一直认为大妈进男厕所从事保洁工作是违法阻却事由,1.0,3.0,907.0,373.0,6042.0,0.0,29.0,2.0,1.0,1,0,0.0
2695151063.0,这下长记性了吧该！不过金额有点多了,0.0,3.0,141.0,417.0,42.0,0.0,8.0,3.0,1.0,0,0,0.0
5278860574.0,权利,0.0,3.0,80.0,186.0,109.0,0.0,6.0,2.0,1.0,3,0,0.0
5875059685.0,是时候，有情名侦探柯南是不是柯南去找他们了,0.0,3.0,390.0,52.0,354.0,0.0,10.0,2.0,2.0,0,0,0.0
